City,State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,GrAppv,SBA_Appv,IndustryCode
PERU,IL,CENTRUE BANK,IL,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
BOWLING GREEN,OH,STAR FINANCIAL BANK,IN,40,2,2,1,2,1,1,TRUE,FALSE,20000,20000,10000,44
ROANOKE,VA,BRANCH BK. & TR CO,VA,73,10,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
SPRINGFIELD,MO,BANK OF AMERICA NATL ASSOC,NC,84,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,53
HOLYOKE,MA,BANK OF AMERICA NATL ASSOC,NC,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,33
READING,PA,VIST BANK,PA,18,1,2,1,2,1,2,FALSE,FALSE,20000,20000,10000,81
NORTH ATTLEBORO,MA,ROCKLAND TRUST COMPANY,MA,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
COLUMBIA,SC,WELLS FARGO BANK NATL ASSOC,NC,48,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SARASOTA,FL,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
LOAS VEGAS,NV,WELLS FARGO BANK NATL ASSOC,SD,60,50,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
BEAUMONT,TX,CAPITAL ONE NATL ASSOC,VA,60,3,2,0,0,1,0,FALSE,TRUE,20000,26000,20800,0
LOS ANGELES,CA,WILSHIRE BANK,CA,120,9,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
NUTTER FORT,WV,BRANCH BK. & TR CO,WV,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
SALT LAKE CITY,UT,AMERICA FIRST FCU,UT,45,2,2,0,2,1,1,TRUE,FALSE,20000,20000,10000,72
GLEN ALLEN,VA,SUNTRUST BANK,GA,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
ENGLEWOOD,CO,JPMORGAN CHASE BANK NATL ASSOC,IL,18,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
OKLAHOMA CITY,OK,BANK OF AMERICA NATL ASSOC,NC,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,62
BEVERLY,WV,BBCN BANK,CA,44,1,1,0,1,1,2,FALSE,FALSE,20000,20000,17000,81
EL PASO,TX,WELLS FARGO BANK NATL ASSOC,CA,60,2,1,4,6,1,1,TRUE,FALSE,20000,20000,10000,42
SYLVANIA,OH,KEYBANK NATIONAL ASSOCIATION,OH,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
TESUQUE,NM,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
ROSEVILLE,CA,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
GROVER CITY (GROVER),CA,HERITAGE OAKS BANK,CA,96,4,1,0,4,1,2,FALSE,FALSE,20000,20000,17000,32
