City,State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,GrAppv,SBA_Appv,IndustryCode
TOWNSEND,MT,VALLEY BK OF HELENA A DIVISION,MT,9,2,1,0,2,0,2,FALSE,FALSE,20100,20100,17085,11
MANCHESTER,NH,CITIZENS BANK NATL ASSOC,NH,84,7,1,0,7,1,1,TRUE,FALSE,20100,20000,10000,23
WOLFEBORO,NH,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,52
RAPID CITY,SD,U.S. BANK NATIONAL ASSOCIATION,OH,60,1,2,0,0,0,1,FALSE,FALSE,20100,20100,10050,54
EAST DENNIS,MA,CITIZENS BANK NATL ASSOC,MA,84,3,1,0,3,1,1,TRUE,FALSE,20100,20000,10000,54
ROCHESTER,NH,CITIZENS BANK NATL ASSOC,RI,84,2,1,0,2,1,1,TRUE,FALSE,20100,20000,10000,33
Waltham,MA,EASTERN BANK,MA,60,2,1,0,2,0,1,TRUE,FALSE,20100,20100,10050,62
Grand Rapids,MI,THE HUNTINGTON NATIONAL BANK,OH,24,2,1,1,2,0,1,FALSE,FALSE,20100,20100,10050,48
PITTSBURGH,PA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,61
Farmington Hills,MI,JPMORGAN CHASE BANK NATL ASSOC,IL,60,30,1,6,0,0,1,FALSE,FALSE,20100,20100,10050,54
ROLLINSFORD (SALMON FALLS),NH,CITIZENS BANK NATL ASSOC,NH,84,1,1,2,2,1,1,TRUE,FALSE,20100,15000,7500,23
WOONSOCKET,RI,CITIZENS BANK NATL ASSOC,RI,84,3,1,0,3,1,2,TRUE,FALSE,20100,20000,10000,62
MOUNT PLEASANT,PA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,81
SHREWSBURY,MA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,23
SWAMPSCOTT,MA,CITIZENS BANK NATL ASSOC,MA,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,54
ARLINGTON,MA,CITIZENS BANK NATL ASSOC,MA,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,44
PORTSMOUTH,NH,CITIZENS BANK NATL ASSOC,NH,84,15,1,0,15,1,1,TRUE,FALSE,20100,10000,5000,56
CLOVIS,NM,U.S. BANK NATIONAL ASSOCIATION,NM,60,2,1,0,0,1,2,FALSE,TRUE,20100,20100,17085,33
HADDAM,CT,CITIZENS BANK NATL ASSOC,CT,84,1,1,0,1,1,2,TRUE,FALSE,20100,20000,10000,53
BROOKLINE,MA,CITIZENS BANK NATL ASSOC,RI,84,2,1,2,4,1,1,TRUE,FALSE,20100,20000,10000,44
HUNTINGTON BEACH,CA,U.S. BANK NATIONAL ASSOCIATION,OH,12,3,1,1,0,0,1,FALSE,FALSE,20100,20100,10050,72
OAKDALE,PA,CITIZENS BANK NATL ASSOC,RI,84,3,1,1,4,1,1,TRUE,FALSE,20100,20000,10000,81
LANCASTER,PA,CITIZENS BANK OF PENNSYLVANIA,PA,84,2,1,0,2,1,1,TRUE,FALSE,20100,20000,10000,45
WILMINGTON,DE,CENTRAL MINNESOTA CU,MN,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,62
QUINCY,MA,CITIZENS BANK NATL ASSOC,RI,31,60,1,30,90,1,1,TRUE,FALSE,20100,20000,10000,56
ERIE,PA,CITIZENS BANK OF PENNSYLVANIA,PA,84,8,1,0,8,1,1,TRUE,FALSE,20100,20000,10000,81
